Gene.primaryIdentifier	Gene.featureType	Gene.qualifier	Gene.secondaryIdentifier	Gene.symbol	Gene.sgdAlias	Gene.featAttribute	Gene.length	Gene.chromosomeLocation.locatedOn.primaryIdentifier	Gene.locations.start	Gene.chromosomeLocation.end	Gene.chromosomeLocation.strand	Gene.geneSummary	Gene.status	Gene.organism.commonName	Gene.description
S000001925	ORF	Verified	YFR029W	PTR3	RAA2 SSY3	null	2037	chrVI	210937	212973	1	null	Active	null	Component of the SPS plasma membrane amino acid sensor system; senses external amino acid concentration and transmits intracellular signals that result in regulation of expression of amino acid permease genes; other members are Ssy1p, Ptr3p, and Ssy5p
S000001926	ORF	Verified	YFR030W	MET10	sulfite reductase subunit alpha	null	3108	chrVI	213312	216419	1	null	Active	null	Subunit alpha of assimilatory sulfite reductase; complex converts sulfite into sulfide
S000001927	ORF	Verified	YFR031C	SMC2	condensin subunit SMC2	null	3513	chrVI	216594	220106	-1	null	Active	null	Subunit of the condensin complex; condensin reorganizes chromosomes during both mitosis and meiosis; essential SMC chromosomal ATPase family member that forms a subcomplex with Smc2p that has ATP-hydrolyzing and DNA-binding activity, but other condensin subunits are required for chromatin binding; required for clustering of tRNA genes at the nucleolus
S000001928	ORF	Uncharacterized	YFR032C	RRT5	null	null	870	chrVI	222090	222959	-1	null	Active	null	Putative protein of unknown function; non-essential gene identified in a screen for mutants with increased levels of rDNA transcription; expressed at high levels during sporulation
S000001929	ORF	Verified	YFR033C	QCR6	COR3 ubiquinol--cytochrome-c reductase subunit 6 UCR6	null	444	chrVI	224326	224769	-1	null	Active	null	Subunit 6 of the ubiquinol cytochrome-c reductase complex; the complex, also known as the cytochrome bc(1) complex or Complex III, is a component of the mitochondrial inner membrane electron transport chain; highly acidic protein; required for maturation of cytochrome c1; may be loosely associated with the complex since it is easily released into the intermembrane space
S000001930	ORF	Verified	YFR034C	PHO4	phoD phosphate-sensing transcription factor PHO4	null	939	chrVI	225020	225958	-1	null	Active	null	Basic helix-loop-helix (bHLH) transcription factor of the myc-family; activates transcription cooperatively with Pho2p in response to phosphate limitation; binding to 'CACGTG' motif is regulated by chromatin restriction, competitive binding of Cbf1p to the same DNA binding motif and cooperation with Pho2p; function is regulated by phosphorylation at multiple sites and by phosphate availability
S000001931	ORF	Uncharacterized	YFR035C	null	null	null	345	chrVI	226121	226465	-1	null	Active	null	Putative protein of unknown function; deletion mutant exhibits synthetic phenotype with alpha-synuclein
S000001932	ORF	Verified	YFR036W	CDC26	anaphase promoting complex subunit CDC26 HIT3 SCD26	null	375	chrVI	226963	227337	1	null	Active	null	Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; relocalizes to the cytosol in response to hypoxia
S000001933	ORF	Verified	YFR037C	RSC8	SWH3	null	1674	chrVI	227513	229186	-1	null	Active	null	Component of the RSC chromatin remodeling complex; essential for viability and mitotic growth; homolog of SWI/SNF subunit Swi3p, but unlike Swi3p, does not activate transcription of reporters
S000001934	ORF	Verified	YFR038W	IRC5	putative ATPase	null	2562	chrVI	229380	231941	1	null	Active	null	Putative ATPase containing the DEAD/H helicase-related sequence motif; null mutant displays increased levels of spontaneous Rad52p foci; SWAT-GFP and mCherry fusion proteins localize to the nucleus
S000001935	ORF	Verified	YFR039C	OSW7	null	null	1533	chrVI	232012	233544	-1	null	Active	null	Protein involved in outer spore wall assembly; likely involved directly in dityrosine layer assembly; may be involved in response to high salt and changes in carbon source; SWAT-GFP, seamless-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; deletion mutant has decreased spore survival in Drosophila feces; OSW7 has a paralog, SHE10, that arose from the whole genome duplication; paralogs are redundant for spore wall dityrosine assembly
S000001936	ORF	Verified	YFR040W	SAP155	null	null	3009	chrVI	234242	237250	1	null	Active	null	Protein required for function of the Sit4p protein phosphatase; forms a complex with Sit4p; member of a family of similar proteins including Sap4p, Sap185p, and Sap190p; protein abundance increases in response to DNA replication stress; SAP155 has a paralog, SAP4, that arose from the whole genome duplication
S000001937	ORF	Verified	YFR041C	ERJ5	null	null	888	chrVI	237368	238255	-1	null	Active	null	Type I membrane protein with a J domain; required to preserve the folding capacity of the endoplasmic reticulum; loss of the non-essential ERJ5 gene leads to a constitutively induced unfolded protein response
S000001938	ORF	Verified	YFR042W	KEG1	null	null	603	chrVI	238458	239060	1	null	Active	null	Integral membrane protein of the ER; physically interacts with Kre6p; has a role in the synthesis of beta-1,6-glucan in the cell wall; required for cell viability
S000001939	ORF	Verified	YFR043C	IRC6	null	null	714	chrVI	239114	239827	-1	null	Active	null	Clathrin coat accessory factor; involved in clathrin-mediated vesicle trafficking; may function to link the AP-1 clathrin adaptor complex with the Rab GTPase Ypt31p; has structural similarity to G-proteins; mouse homolog Aagab (p34) functionally complements irc6 null mutation; null mutant displays increased levels of spontaneous Rad52p foci
S000001940	ORF	Verified	YFR044C	DUG1	metallodipeptidase	null	1446	chrVI	239992	241437	-1	null	Active	null	Cys-Gly metallo-di-peptidase; forms a complex with Dug2p and Dug3p to degrade glutathione (GSH) and other peptides containing a gamma-glu-X bond in an alternative pathway to GSH degradation by gamma-glutamyl transpeptidase (Ecm38p); human homolog CNDP2 can complement yeast dug1 mutant
S000001941	ORF	Uncharacterized	YFR045W	null	null	null	1002	chrVI	241998	242999	1	null	Active	null	Putative mitochondrial transport protein; null mutant is viable, exhibits decreased levels of chitin and normal resistance to calcofluor white
S000001942	ORF	Verified	YFR046C	CNN1	centromere-binding protein CNN1	null	1086	chrVI	243074	244159	-1	null	Active	null	Kinetochore protein; associated with the essential kinetochore proteins Nnf1p and Spc24p; phosphorylated by Clb5-Cdk1, Mps1p, Ipl1p and to a lesser extent by Clb2-Cdk1; localizes to the lower region of the Ndc80 complex during anaphase and regulates KMN activity by inhibiting the Mtw1 and Spc105 complexes from binding to the Ndc80 complex; similar to metazoan CENP-T
S000001943	ORF	Verified	YFR047C	BNA6	nicotinate-nucleotide diphosphorylase (carboxylating) QPT1	null	888	chrVI	244279	245166	-1	null	Active	null	Quinolinate phosphoribosyl transferase; required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p
S000001944	ORF	Verified	YFR048W	RMD8	null	null	1989	chrVI	246146	248134	1	null	Active	null	Cytosolic protein required for sporulation
S000001945	ORF	Verified	YFR049W	YMR31	KGD4 mitochondrial 37S ribosomal protein YMR31	null	372	chrVI	248523	248894	1	null	Active	null	Subunit of the mitochondrial alpha-ketoglutarate dehydrogenase; recruits E3 subunit (Lpd1p) to the E1-E2 (Kgd1p, Kgd2p) core; has similarity to human mitochondrial ribosomal protein MRP-S36
S000001946	ORF	Verified	YFR050C	PRE4	proteasome core particle subunit beta 7	null	801	chrVI	249066	249866	-1	null	Active	null	Beta 7 subunit of the 20S proteasome
S000001947	ORF	Verified	YFR051C	RET2	coatomer subunit delta	null	1641	chrVI	250163	251803	-1	null	Active	null	Delta subunit of the coatomer complex (COPI); COPI coats Golgi-derived transport vesicles; involved in retrograde transport between Golgi and ER
S000001948	ORF	Verified	YFR052W	RPN12	NIN1 proteasome regulatory particle lid subunit RPN12	null	825	chrVI	252505	253329	1	null	Active	null	Subunit of the 19S regulatory particle of the 26S proteasome lid; synthetically lethal with RPT1, which is an ATPase component of the 19S regulatory particle; physically interacts with Nob1p and Rpn3p; protein abundance increases in response to DNA replication stress
S000001949	ORF	Verified	YFR053C	HXK1	hexokinase 1	null	1458	chrVI	253592	255049	-1	null	Active	null	Hexokinase isoenzyme 1; a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves hexokinase Hxk2p; HXK1 has a paralog, HXK2, that arose from the whole genome duplication
S000001950	ORF	Uncharacterized	YFR054C	null	null	null	579	chrVI	258855	259433	-1	null	Active	null	Putative protein of unknown function; conserved among S. cerevisiae strains
S000001951	ORF	Dubious	YFR056C	null	null	null	369	chrVI	263957	264325	-1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized gene YFR055W
S000001952	ORF	Verified	YFR055W	IRC7	cysteine-S-conjugate beta-lyase IRC7	null	1023	chrVI	264204	265226	1	null	Active	null	Beta-lyase involved in the production of thiols; null mutant displays increased levels of spontaneous Rad52p foci; expression induced by nitrogen limitation in a GLN3, GAT1-dependent manner and by copper levels in a Mac1-dependent manner
S000001953	ORF	Uncharacterized	YFR057W	null	null	null	456	chrVI	269061	269516	1	null	Active	null	Putative protein of unknown function
S000001954	ORF	Verified	YER044C-A	MEI4	null	null	1315	chrV	238460	239774	-1	null	Active	null	Meiosis-specific protein involved in forming DSBs; involved in double-strand break (DSBs) formation during meiotic recombination; required for chromosome synapsis and production of viable spores
S000001955	ORF	Verified	YFL010W-A	AUA1	YFL011W-A	null	285	chrVI	114990	115274	1	null	Active	null	Protein required for the negative regulation by ammonia of Gap1p; Gap1p is a general amino acid permease
S000001956	ORF	Verified	YKL096W-A	CWP2	LPR1 YKL097W-A	null	279	chrXI	259253	259531	1	null	Active	null	Covalently linked cell wall mannoprotein; major constituent of the cell wall; plays a role in stabilizing the cell wall; involved in low pH resistance; precursor is GPI-anchored
S000001957	ORF	Verified	YHR079C-A	SAE3	YHR079BC YHR079C-B	null	362	chrVIII	262192	262553	-1	null	Active	null	Meiosis-specific protein involved in meiotic recombination; involved in DMC1-dependent meiotic recombination; forms heterodimer with Mei5p; proposed to be an assembly factor for Dmc1p
S000002100	ORF	Verified	YHR039C-A	VMA10	H(+)-transporting V1 sector ATPase subunit G YHR039BC YHR039C-B	null	507	chrVIII	187173	187679	-1	null	Active	null	Subunit G of the V1 peripheral membrane domain of V-ATPase; part of the electrogenic proton pump found throughout the endomembrane system; involved in vacuolar acidification; the V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase) has eight subunits
S000002101	ORF	Verified	YKL006C-A	SFT1	null	null	435	chrXI	430198	430632	-1	null	Active	null	Intra-Golgi v-SNARE; required for transport of proteins between an early and a later Golgi compartment
S000002103	ORF	Verified	YEL017C-A	PMP2	proteolipid ATPase	null	132	chrV	122798	122929	-1	null	Active	null	Proteolipid associated with plasma membrane H(+)-ATPase (Pma1p); regulates plasma membrane H(+)-ATPase activity; protein abundance increases in response to DNA replication stress; PMP2 has a paralog, PMP1, that arose from the whole genome duplication
S000002104	ORF	Verified	YFR031C-A	RPL2A	L2 L2A L5A ribosomal 60S subunit protein L2A rp8 RPL5B uL2 YL6	null	912	chrVI	220507	221418	-1	null	Active	null	Ribosomal 60S subunit protein L2A; homologous to mammalian ribosomal protein L2 and bacterial L2; RPL2A has a paralog, RPL2B, that arose from the whole genome duplication
S000002127	ORF	Verified	YER019C-A	SBH2	Arf family guanine nucleotide exchange factor SBH2 SEB2	null	267	chrV	194273	194539	-1	null	Active	null	Ssh1p-Sss1p-Sbh2p complex component; involved in protein translocation into the endoplasmic reticulum; SBH2 has a paralog, SBH1, that arose from the whole genome duplication
S000002128	ORF	Verified	YER087C-B	SBH1	Arf family guanine nucleotide exchange factor SBH1 SEB1 YER087C-A	null	249	chrV	332582	332830	-1	null	Active	null	Beta subunit of Sec61p ER translocation complex (Sec61p-Sss1p-Sbh1p); involved in protein translocation into the endoplasmic reticulum; interacts with the exocyst complex and also with Rtn1p; cotranslationally N-acetylated by NatA; SBH1 has a paralog, SBH2, that arose from the whole genome duplication
S000002129	ORF	Verified	YAR002C-A	ERP1	null	null	660	chrI	154065	154724	-1	null	Active	null	Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control; forms heterotrimeric complex with Erp2p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog, ERP6, that arose from the whole genome duplication
S000002133	ORF	Verified	YCR079W	PTC6	AUP1 PPP2 type 2C protein phosphatase PTC6	null	1329	chrIII	252845	254173	1	null	Active	null	Mitochondrial type 2C protein phosphatase (PP2C); has similarity to mammalian PP1Ks; involved in mitophagy; null mutant is sensitive to rapamycin and has decreased phosphorylation of the Pda1 subunit of pyruvate dehydrogenase
S000002134	ORF	Verified	YAL034C	FUN19	null	null	1242	chrI	80710	81951	-1	null	Active	null	Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication
S000002135	ORF	Verified	YER056C-A	RPL34A	eL34 L34A L34e ribosomal 60S subunit protein L34A	null	763	chrV	269423	270185	-1	null	Active	null	Ribosomal 60S subunit protein L34A; homologous to mammalian ribosomal protein L34, no bacterial homolog; RPL34A has a paralog, RPL34B, that arose from the whole genome duplication
S000002136	ORF	Dubious	YAL004W	null	null	null	648	chrI	140760	141407	1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C
S000002137	ORF	Dubious	YAL034C-B	null	YAL035C-A	null	354	chrI	79489	79842	-1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
S000002138	ORF	Dubious	YAL042C-A	null	YAL043C-A	null	378	chrI	61231	61608	-1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene
S000002139	ORF	Dubious	YAL056C-A	null	YAL058C-A	null	351	chrI	38696	39046	-1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
S000002140	ORF	Uncharacterized	YAL064C-A	TDA8	YAL065C-A	null	381	chrI	13363	13743	-1	null	Active	null	Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene
S000002141	ORF	Uncharacterized	YAL064W-B	null	null	null	381	chrI	12046	12426	1	null	Active	null	Fungal-specific protein of unknown function
S000002142	ORF	Verified	YAL068C	PAU8	seripauperin PAU8	null	363	chrI	1807	2169	-1	null	Active	null	Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions
S000002143	ORF	Dubious	YAL069W	null	null	null	315	chrI	335	649	1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
S000002144	ORF	Uncharacterized	YAR066W	null	null	null	612	chrI	221049	221660	1	null	Active	null	Putative GPI protein; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively; YAR066W has a paralog, YHR214W, that arose from a segmental duplication
S000002145	ORF	Dubious	YAR075W	null	null	null	474	chrI	228844	229317	1	null	Active	null	Non-functional protein with homology IMP dehydrogenase; YAR073W/IMD1 and YAR075W comprise a continuous reading frame in most strains of S. cerevisiae; YAR073W/YAR075W together have a paralog, IMD2, that arose from a segmental duplication
S000002150	ORF	Dubious	YBL109W	null	null	null	336	chrII	5790	6125	1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
S000002151	ORF	Verified	YBL111C	null	null	null	2103	chrII	2907	5009	-1	null	Active	null	Helicase-like protein encoded within the telomeric Y' element; relocalizes from mitochondrion to cytoplasm upon DNA replication stress
S000002152	ORF	Uncharacterized	YBL112C	null	null	null	318	chrII	2582	2899	-1	null	Active	null	Putative protein of unknown function; YBL112C is contained within TEL02L
S000002153	ORF	Uncharacterized	YBL113C	null	null	null	2379	chrII	280	2658	-1	null	Active	null	Helicase-like protein encoded within the telomeric Y' element
S000002156	ORF	Verified	YBR084C-A	RPL19A	eL19 L19A L19e L23A ribosomal 60S subunit protein L19A rpl5L YL14	null	1076	chrII	414186	415261	-1	null	Active	null	Ribosomal 60S subunit protein L19A; rpl19a and rpl19b single null mutations result in slow growth, while the double null mutation is lethal; homologous to mammalian ribosomal protein L19, no bacterial homolog; RPL19A has a paralog, RPL19B, that arose from the whole genome duplication
S000002157	ORF	Verified	YBR089C-A	NHP6B	high-mobility group nucleosome-binding protein YBR090C-A	null	300	chrII	426190	426489	-1	null	Active	null	High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to the chromosomes; functionally redundant with Nhp6Ap; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6B has a paralog, NHP6A, that arose from the whole genome duplication
S000002158	ORF	Verified	YBR162W-A	YSY6	null	null	198	chrII	565231	565428	1	null	Active	null	Protein of unknown function; expression suppresses a secretory pathway mutation in E. coli; has similarity to the mammalian RAMP4 protein involved in secretion
S000002159	ORF	Verified	YDL001W	RMD1	null	null	1293	chrIV	447984	449276	1	null	Active	null	Cytoplasmic protein required for sporulation
S000002160	ORF	Verified	YDL002C	NHP10	HMO2	null	612	chrIV	446967	447578	-1	null	Active	null	Non-essential INO80 chromatin remodeling complex subunit; preferentially binds DNA ends, protecting them from exonucleatic cleavage; deletion affects telomere maintenance via recombination; related to mammalian high mobility group proteins
S000002161	ORF	Verified	YDL003W	MCD1	kleisin alpha PDS3 RHC21 SCC1	null	1701	chrIV	444683	446383	1	null	Active	null	Essential alpha-kleisin subunit of the cohesin complex; required for sister chromatid cohesion in mitosis; subject to proteolytic cleavage by separate Esp1p, resulting in dissociation of cohesin from chromatin and the separation of sister chromatids at the mitotic metaphase-to-anaphase transition; apoptosis induces cleavage and translocation of a C-terminal fragment to mitochondria; expression peaks in S phase
S000002162	ORF	Verified	YDL004W	ATP16	F1F0 ATP synthase subunit delta	null	483	chrIV	443029	443511	1	null	Active	null	Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
S000002163	ORF	Verified	YDL005C	MED2	null	null	1296	chrIV	441014	442309	-1	null	Active	null	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; relocalizes to the cytosol in response to hypoxia
S000002164	ORF	Verified	YDL006W	PTC1	CWH47 KCS2 TPD1 type 2C protein phosphatase PTC1	null	846	chrIV	439909	440754	1	null	Active	null	Type 2C protein phosphatase (PP2C); dephosphorylates Hog1p, inactivating osmosensing MAPK cascade; involved in Fus3p activation during pheromone response; deletion affects precursor tRNA splicing, mitochondrial inheritance, and sporulation
S000002165	ORF	Verified	YDL007W	RPT2	proteasome regulatory particle base subunit RPT2 YHS4 YTA5	null	1314	chrIV	438047	439360	1	null	Active	null	ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; required for normal peptide hydrolysis by the core 20S particle; N-myristoylation of Rpt2p at Gly2 is involved in regulating the proper intracellular distribution of proteasome activity by controlling the nuclear localization of the 26S proteasome
S000002166	ORF	Verified	YDL008W	APC11	anaphase promoting complex subunit 11	null	498	chrIV	433497	433994	1	null	Active	null	Catalytic core subunit, Anaphase-Promoting Complex/Cyclosome (APC/C); which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; contains a RING-H2 domain that is required for activity
S000002167	ORF	Uncharacterized	YDL009C	null	null	null	324	chrIV	432925	433248	-1	null	Active	null	Protein of unknown function; mRNA identified as translated by ribosome profiling data; SWAT-GFP and mCherry fusion proteins localize to the cytosol; partially overlaps the verified ORF YDL010W; YDL009C is not an essential gene
S000002168	ORF	Verified	YDL010W	GRX6	glutathione-disulfide reductase GRX6	null	696	chrIV	432330	433025	1	null	Active	null	Cis-golgi localized monothiol glutaredoxin, binds Fe-S cluster; more similar in activity to dithiol than other monothiol glutaredoxins; involved in the oxidative stress response; GRX6 has a paralog, GRX7, that arose from the whole genome duplication
S000002169	ORF	Dubious	YDL011C	null	null	null	324	chrIV	432308	432631	-1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the uncharacterized ORF YDL010W
S000002170	ORF	Verified	YDL012C	null	null	null	410	chrIV	431108	431517	-1	null	Active	null	Tail-anchored plasma membrane protein with a conserved CYSTM module; possibly involved in response to stress; may contribute to non-homologous end-joining (NHEJ) based on ydl012c htz1 double null phenotype; YDL012C has a paralog, YBR016W, that arose from the whole genome duplication
S000002171	ORF	Verified	YDL013W	SLX5	HEX3 SUMO-targeted ubiquitin ligase complex subunit SLX5 ULS2	null	1860	chrIV	429067	430926	1	null	Active	null	Subunit of the Slx5-Slx8 SUMO-targeted Ub ligase (STUbL) complex; role in Ub-mediated degradation of histone variant Cse4p preventing mislocalization to euchromatin; role in proteolysis of spindle positioning protein Kar9p, and DNA repair proteins Rad52p and Rad57p; forms SUMO-dependent nuclear foci, including DNA repair centers; contains a RING domain and two SIM motifs; associates with the centromere; required for maintenance of genome integrity like human ortholog RNF4
S000002172	ORF	Verified	YDL014W	NOP1	LOT3 rRNA methyltransferase NOP1	null	984	chrIV	427364	428347	1	null	Active	null	Histone glutamine methyltransferase, modifies H2A at Q105 in nucleolus; component of the small subunit processome complex, which is required for processing of pre-18S rRNA; ortholog of mammalian fibrillarin; inviability of the null mutant is functionally complemented by human FBL
S000002173	ORF	Verified	YDL015C	TSC13	trans-2-enoyl-CoA reductase (NADPH) TSC13	null	933	chrIV	426002	426934	-1	null	Active	null	Enoyl reductase; catalyzes last step in each cycle of very long chain fatty acid elongation; localizes to ER, highly enriched in a structure marking nuclear-vacuolar junctions; coimmunoprecipitates with elongases Elo2p and Elo3p; protein increases in abundance and relative distribution to ER foci increases upon DNA replication stress; human homolog TECR implicated in nonsyndromic mental retardation, can complement yeast mutant
S000002174	ORF	Dubious	YDL016C	null	null	null	303	chrIV	425570	425872	-1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF CDC7/YDL153C, the catalytic subunit of a complex that regulates DNA replication
S000002175	ORF	Verified	YDL017W	CDC7	LSD6 SAS1 serine/threonine protein kinase CDC7	null	1524	chrIV	424209	425732	1	null	Active	null	Ser/Thr kinase and catalytic subunit of DDK (Dbf4-dependent kinase); required for origin firing and replication initiation; phosphorylates MCM subunits and Cdc45p to drive assembly of the pre-IC and the replicative CMG helicase (Cdc45-MCM-GINS); regulates pre-meiotic DNA replication, meiotic DSB formation, monopolar attachment of homologs during MI by recruiting monopolin to kinetochores, and regulation of middle meiotic genes including NDT80; complemented by co-expression of human CDC7 and DBF4
S000002176	ORF	Verified	YDL018C	ERP3	null	null	678	chrIV	422833	423510	-1	null	Active	null	Protein with similarity to Emp24p and Erv25p; member of the p24 family involved in ER to Golgi transport
S000002177	ORF	Verified	YDL019C	OSH2	oxysterol-binding protein related protein OSH2	null	3852	chrIV	417663	421514	-1	null	Active	null	Member of an oxysterol-binding protein family with seven members; in S. cerevisiae, family members have overlapping, redundant functions in sterol metabolism and collectively perform a function essential for viability; contains FFAT motif; interacts with ER anchor Scs2p at patches at the plasma membrane and at the nuclear envelope; regulated by sterol binding; OSH2 has a paralog, SWH1, that arose from the whole genome duplication
S000002178	ORF	Verified	YDL020C	RPN4	SON1 stress-regulated transcription factor RPN4 UFD5	null	1596	chrIV	415113	416708	-1	null	Active	null	Transcription factor that stimulates expression of proteasome genes; Rpn4p levels are in turn regulated by the 26S proteasome in a negative feedback control mechanism; RPN4 is transcriptionally regulated by various stress responses; relative distribution to the nucleus increases upon DNA replication stress
S000002179	ORF	Verified	YDL021W	GPM2	phosphoglycerate mutase family protein GPM2	null	936	chrIV	413953	414888	1	null	Active	null	Nonfunctional homolog of Gpm1p phosphoglycerate mutase; if functional, would convert 3-phosphoglycerate to 2-phosphoglycerate in glycolysis; GPM2 has a paralog, GPM3, that arose from the whole genome duplication
S000002180	ORF	Verified	YDL022W	GPD1	DAR1 glycerol-3-phosphate dehydrogenase (NAD(+)) GPD1 HOR1 OSG1 OSR5	null	1176	chrIV	411825	413000	1	null	Active	null	NAD-dependent glycerol-3-phosphate dehydrogenase; key enzyme of glycerol synthesis, essential for growth under osmotic stress; expression regulated by high-osmolarity glycerol response pathway; protein abundance increases in response to DNA replication stress; constitutively inactivated via phosphorylation by the protein kinases Ypk1p and Ypk2p, dephosphorylation increases catalytic activity; forms a heterodimer with Pnc1p to facilitate its peroxisomal import
S000002181	ORF	Dubious	YDL023C	null	SRF4	null	321	chrIV	411761	412081	-1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in other Saccharomyces species; overlaps the verified gene GPD1; deletion confers sensitivity to GSAO; deletion in cyr1 mutant results in loss of stress resistance
S000002182	ORF	Verified	YDL024C	DIA3	putative acid phosphatase DIA3	null	1407	chrIV	408451	409857	-1	null	Active	null	Protein of unknown function; involved in invasive and pseudohyphal growth
S000002183	ORF	Verified	YDL025C	RTK1	putative serine/threonine protein kinase RTK1	null	1863	chrIV	405344	407206	-1	null	Active	null	Putative protein kinase, potentially phosphorylated by Cdc28p; interacts with ribosome biogenesis factors, Cka2, Gus1 and Arc1; protein abundance increases in response to DNA replication stress
S000002184	ORF	Dubious	YDL026W	null	null	null	312	chrIV	404749	405060	1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
S000002185	ORF	Uncharacterized	YDL027C	MRX9	null	null	1263	chrIV	403695	404957	-1	null	Active	null	Protein that associates with mitochondrial ribosome; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YDL027C is not an essential gene
S000002186	ORF	Verified	YDL028C	MPS1	PAC8 RPK1 serine/threonine/tyrosine protein kinase MPS1	null	2295	chrIV	400997	403291	-1	null	Active	null	Dual-specificity kinase; autophosphorylation required for function; required for spindle pole body (SPB) duplication and spindle checkpoint function; contributes to bi-orientation by promoting formation of force-generating kinetochore-microtubule attachments in meiosis I; substrates include SPB proteins Spc42p, Spc110p, and Spc98p, mitotic exit network protein Mob1p, kinetochore protein Cnn1p, and checkpoint protein Mad1p; substrate of APCC(Cdh1); similar to human Mps1p
S000002187	ORF	Verified	YDL029W	ARP2	ACT2 actin-related protein 2	null	1299	chrIV	399340	400638	1	null	Active	null	Essential component of the Arp2/3 complex; Arp2/3 is a highly conserved actin nucleation center required for the motility and integrity of actin patches; involved in endocytosis and membrane growth and polarity; required for efficient Golgi-to-ER trafficking in COPI mutants
S000002188	ORF	Verified	YDL030W	PRP9	SF3a splicing factor complex subunit PRP9	null	1593	chrIV	397537	399129	1	null	Active	null	Subunit of the SF3a splicing factor complex; required for spliceosome assembly; acts after the formation of the U1 snRNP-pre-mRNA complex
S000002189	ORF	Verified	YDL031W	DBP10	putative ATP-dependent RNA helicase DBP10	null	2988	chrIV	394217	397204	1	null	Active	null	Putative ATP-dependent RNA helicase of the DEAD-box protein family; constituent of 66S pre-ribosomal particles; essential protein involved in ribosome biogenesis
S000002190	ORF	Dubious	YDL032W	null	null	null	312	chrIV	393690	394001	1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene SLM3/YDL033C; YDL032W is not an essential gene
S000002191	ORF	Verified	YDL033C	SLM3	MTO2 MTU1 tRNA-5-taurinomethyluridine 2-sulfurtransferase	null	1254	chrIV	392659	393912	-1	null	Active	null	tRNA-specific 2-thiouridylase; responsible for 2-thiolation of the wobble base of mitochondrial tRNAs; human homolog TRMU is implicated in myoclonus epilepsy associated with ragged red fibers (MERRF), and can complement yeast null mutant
S000002192	ORF	Dubious	YDL034W	null	null	null	345	chrIV	391783	392127	1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps with verified gene GPR1/YDL035C; YDL034W is not an essential gene
